ID;Periods;Total_6
274;1995Q1;120676
275;1995Q2;123656
276;1995Q3;121786
277;1995Q4;130172
279;1996Q1;125397
280;1996Q2;129354
281;1996Q3;128566
282;1996Q4;138254
284;1997Q1;134501
285;1997Q2;141420
286;1997Q3;141249
287;1997Q4;151090
289;1998Q1;147263
290;1998Q2;150521
291;1998Q3;148729
292;1998Q4;157593
294;1999Q1;153321
295;1999Q2;160149
296;1999Q3;160462
297;1999Q4;174119
299;2000Q1;171892
300;2000Q2;179376
301;2000Q3;177590
302;2000Q4;192042
304;2001Q1;186219
305;2001Q2;190670
306;2001Q3;185206
307;2001Q4;193207
309;2002Q1;186629
310;2002Q2;193695
311;2002Q3;189219
312;2002Q4;198745
314;2003Q1;192343
315;2003Q2;195859
316;2003Q3;190887
317;2003Q4;203643
319;2004Q1;195123
320;2004Q2;205613
321;2004Q3;202278
322;2004Q4;217032
324;2005Q1;205739
325;2005Q2;217899
326;2005Q3;213947
327;2005Q4;228263
329;2006Q1;224478
330;2006Q2;234773
331;2006Q3;228830
332;2006Q4;244802
334;2007Q1;238550
335;2007Q2;248224
336;2007Q3;243757
337;2007Q4;270558
339;2008Q1;256688
340;2008Q2;265844
341;2008Q3;259733
342;2008Q4;261447
344;2009Q1;239710
345;2009Q2;240586
346;2009Q3;235695
347;2009Q4;250343
349;2010Q1;246326
350;2010Q2;262244
351;2010Q3;254591
352;2010Q4;270522
354;2011Q1;267426
355;2011Q2;274800
356;2011Q3;266877
357;2011Q4;276793
359;2012Q1;272523
360;2012Q2;281502
361;2012Q3;271163
362;2012Q4;283320
364;2013Q1;272824
365;2013Q2;282778
366;2013Q3;275676
367;2013Q4;289322
369;2014Q1;278052
370;2014Q2;286894
371;2014Q3;280819
372;2014Q4;292367
374;2015Q1;282325
375;2015Q2;329019
376;2015Q3;292918
377;2015Q4;304340
379;2016Q1;287701
380;2016Q2;303225
381;2016Q3;296905
382;2016Q4;311550
384;2017Q1;308710
385;2017Q2;320503
386;2017Q3;315121
387;2017Q4;329975
389;2018Q1;325992
390;2018Q2;339821
391;2018Q3;335407
392;2018Q4;346599
394;2019Q1;339821
395;2019Q2;356348
396;2019Q3;349043
397;2019Q4;359202
399;2020Q1;342526
400;2020Q2;317326
401;2020Q3;332783
402;2020Q4;347099
404;2021Q1;339533
405;2021Q2;368010
406;2021Q3;376238
407;2021Q4;395318
409;2022Q1;396390
410;2022Q2;435610
