Periods;Production_1;SeasonallyAdjustedProduction_3
2005-1;94.9;96.4
2005-2;91.4;98.1
2005-03;106.1;97.6
2005-04;102.8;99.9
2005-5;99.6;98.5
2005-6;103.2;100.7
2005-7;96.4;99
2005-8;91.7;97.4
2005-9;101;97.4
2005-10;99.9;95.5
2005-11;107.5;99.9
2005-12;108.5;100.1
2006-1;100;99.7
2006-2;93.9;101.1
2006-3;113.9;104.1
2006-4;101.8;102.8
2006-5;104.3;99.7
2006-6;104.4;102.1
2006-7;96.6;99.5
2006-8;94.4;99.1
2006-9;99.6;97.1
2006-10;103.9;97.1
2006-11;108.6;100.9
2006-12;106;101.6
2007-1;99.1;101.3
2007-2;93.1;102.6
2007-3;108.1;102.7
2007-4;101;101.1
2007-5;106;101.7
2007-6;106.8;103.9
2007-7;102.9;104.2
2007-8;100.5;104.4
2007-9;107;106.2
2007-10;117.8;106.8
2007-11;120.2;109.4
2007-12;115.6;108.9
2008-1;104.2;104.8
2008-2;99.5;106.6
2008-3;111.7;107.4
2008-4;115.2;113.2
2008-5;105.7;103.8
2008-6;107.9;105.3
2008-7;104.9;105.3
2008-8;96;103.8
2008-9;110.8;106.7
2008-10;116.7;106.9
2008-11;106.8;101.6
2008-12;108.3;97.6
2009-1;100.3;100.5
2009-2;89.6;96.7
2009-3;100.1;94.8
2009-4;92;91.4
2009-5;95.1;96.1
2009-6;99.3;97.1
2009-7;99.4;99.2
2009-8;89.4;98.3
2009-9;101.1;97.7
2009-10;107.1;99.7
2009-11;106.7;99.3
2009-12;112.9;100.5
2010-1;104;104.6
2010-2;96.2;103.2
2010-3;112;104.9
2010-4;104;104.9
2010-5;106.5;109.8
2010-6;107.3;103.4
2010-7;101.6;101.9
2010-8;96.4;104.2
2010-9;106.7;103
2010-10;111.1;105.7
2010-11;116.4;106.9
2010-12;121.2;107.3
2011-1;104.6;105.8
2011-2;98.2;106.8
2011-3;113.9;106.2
2011-4;102.2;102.8
2011-5;109.5;104.2
2011-6;104.5;103.4
2011-7;103.4;106
2011-8;100.8;106.3
2011-9;109;104.2
2011-10;108.1;102.3
2011-11;111.8;102.6
2011-12;110.8;102.5
2012-1;101.5;102.9
2012-2;103.6;106.9
2012-3;108.1;103.8
2012-4;105.4;106.8
2012-5;108.4;105.4
2012-6;107.2;105.4
2012-7;102;101.7
2012-8;99.7;103.3
2012-9;103.6;102.5
2012-10;111.9;102.4
2012-11;112.8;103.7
2012-12;106.6;102.6
2013-1;105;104.3
2013-2;99.2;105.3
2013-3;113.5;107.2
2013-4;107.2;107.3
2013-5;110.1;107.1
2013-6;102.8;103.2
2013-7;101.9;100.7
2013-8;97.3;103.1
2013-9;106.8;104.8
2013-10;111;102.3
2013-11;112.9;105
2013-12;109.9;103.7
2014-1;100.4;101.1
2014-2;92.1;100.1
2014-3;103;98.8
2014-4;105.7;104.1
2014-5;107.6;103.7
2014-6;102;102
2014-7;103.5;102.7
2014-8;96;103
2014-9;106.6;101.3
2014-10;109.1;100.2
2014-11;106.2;100.7
2014-12;110.6;100.8
2015-1;101;102.9
2015-2;97.1;103.5
2015-3;104.5;100.8
2015-4;97.3;98.6
2015-5;95.9;97.9
2015-6;104.2;100.7
2015-7;99.9;100.5
2015-8;87.9;97
2015-9;101.9;98.6
2015-10;104.5;100.9
2015-11;104.2;101.1
2015-12;101.7;98.4
2016-1;96.9;100.7
2016-2;99.2;101.5
2016-3;107.2;102.6
2016-4;101.3;102.2
2016-5;100;100.4
2016-6;106;102
2016-7;96.7;100.5
2016-8;92.5;99.4
2016-9;102;99.3
2016-10;101.1;100.4
2016-11;108.1;103.1
2016-12;105.6;104
2017-1;100.1;101.2
2017-2;99.3;103.9
2017-3;109.9;102.9
2017-4;96.6;101.3
2017-5;104;101.4
2017-6;104.9;102.6
2017-7;97.3;101.8
2017-8;94.3;101.7
2017-9;102.9;102.5
2017-10;107.1;104.1
2017-11;110.4;104.5
2017-12;103.1;104.6
2018-1;104.9;105.2
2018-2;99.8;104.6
2018-3;110.1;105.2
2018-4;99.8;103.2
2018-5;104.5;103.4
2018-6;105.7;103.3
2018-7;98.6;101.8
2018-8;95.4;102.7
2018-9;101.2;102.8
2018-10;109.3;103.2
2018-11;109.9;103.5
2018-12;98.7;100.8
2019-1;104.1;104
2019-2;98.1;102.9
2019-3;106.2;103.4
2019-4;102.4;102.3
2019-5;105.4;102.7
2019-6;99.8;101.6
2019-7;100.2;101.7
2019-8;92.9;101.9
2019-9;104.3;103.1
2019-10;109.7;102.9
2019-11;105.9;101.7
2019-12;99.4;100.2
2020-1;103.5;102.7
2020-2;99.7;102.7
2020-3;106.9;100.6
2020-4;93.2;94.3
2020-5;92.7;94.2
2020-6;96.1;95.3
2020-7;96;97.8
2020-8;87.6;97.8
2020-9;101;98.5
2020-10;105;100.7
2020-11;103.7;100
2020-12;102.3;100.2
2021-1;98.5;102.2
2021-2;95;99.7
2021-3;111;103.3
2021-4;100.8;102
2021-5;99.2;103
2021-6;109.2;104.7
2021-7;102.9;105.6
2021-8;92.8;102.7
2021-9;107.5;103.7
2021-10;105.6;103.1
2021-11;110.5;104.1
2021-12;110.4;106.1
2022-1;102.3;104.9
2022-2;97.7;103.3
2022-3;112.1;103.8
2022-4;106.1;109.3
2022-5;107.7;107.4
2022-6;109.5;106.2
2022-7;101.5;106.4
2022-8;96.3;104.9
