"Balanszijde","Instrument","Stroomtype","LooptijdOorspronkelijk","RenteVastPeriode","Periode ","waarde"
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2003-01",4.83
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2003-02",4.6
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2003-03",4.42
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2003-04",4.38
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2003-05",4.36
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2003-06",4.17
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2003-07",4
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2003-08",4.05
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2003-09",4.17
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2003-10",4.26
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2003-11",4.36
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2003-12",4.38
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2004-01",4.45
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2004-02",4.42
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2004-03",4.3
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2004-04",4.17
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2004-05",4.21
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2004-06",4.18
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2004-07",4.25
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2004-08",4.3
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2004-09",4.29
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2004-10",4.22
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2004-11",4.03
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2004-12",3.87
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2005-01",3.86
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2005-02",3.87
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2005-03",3.9
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2005-04",3.94
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2005-05",3.91
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2005-06",3.73
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2005-07",3.64
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2005-08",3.79
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2005-09",3.69
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2005-10",3.75
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2005-11",3.7
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2005-12",3.85
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2006-01",3.91
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2006-02",3.98
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2006-03",4.07
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2006-04",4.29
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2006-05",4.41
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2006-06",4.5
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2006-07",4.61
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2006-08",4.64
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2006-09",4.68
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2006-10",4.62
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2006-11",4.66
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2006-12",4.65
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2007-01",4.66
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2007-02",4.79
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2007-03",4.77
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2007-04",4.89
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2007-05",4.99
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2007-06",5.09
"Activa ","Woninghypotheken - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar * ","2007-07",5.17
